date,USA,China,India,Germany,UK,Japan,France,Russia,Canada,Italy
2000,10250.95,1211.33,468.39,1947.98,1665.53,4968.36,1365.64,259.71,744.77,1146.68
2001,10581.93,1339.40,485.44,1945.79,1649.83,4374.71,1377.66,306.60,738.98,1168.02
2002,10929.11,1470.56,514.94,2078.48,1785.73,4182.85,1501.41,345.47,760.65,1276.77
2003,11456.44,1660.28,607.70,2501.64,2054.42,4519.56,1844.54,430.35,895.54,1577.62
2004,12217.19,1955.35,709.15,2814.35,2421.53,4893.12,2119.63,591.02,1026.69,1806.54
2005,13039.20,2285.96,820.38,2846.86,2543.18,4831.47,2196.95,764.02,1173.11,1858.22
2006,13815.59,2752.12,940.26,2994.70,2708.44,4601.66,2320.54,989.93,1319.26,1949.55
2007,14474.23,3550.33,1216.74,3425.58,3090.51,4579.75,2660.59,1299.70,1468.82,2213.10
2008,14769.86,4594.34,1198.90,3745.26,2929.41,5106.68,2930.30,1660.85,1552.99,2408.66
2009,14478.06,5101.69,1341.89,3411.26,2412.84,5289.49,2700.89,1222.65,1374.63,2199.93
2010,15048.96,6087.19,1675.62,3399.67,2485.48,5759.07,2645.19,1524.92,1617.34,2136.10
2011,15599.73,7551.55,1823.05,3749.31,2663.81,6233.15,2865.16,2045.92,1793.33,2294.99
2012,16253.97,8532.19,1827.64,3527.14,2707.09,6272.36,2683.67,2208.29,1828.37,2086.96
2013,16843.19,9570.47,1856.72,3733.80,2784.85,5212.33,2811.88,2292.47,1846.60,2141.92
2014,17550.68,10475.62,2039.13,3889.09,3064.71,4896.99,2855.96,2059.24,1805.75,2162.01
2015,18206.02,11061.57,2103.59,3357.59,2927.91,4444.93,2439.19,1363.48,1556.51,1836.64
2016,18695.11,11233.31,2294.80,3469.85,2689.11,5003.68,2472.96,1276.79,1527.99,1877.07
2017,19477.34,12310.49,2651.47,3690.85,2680.15,4930.84,2595.15,1574.20,1649.27,1961.80
2018,20533.06,13894.91,2702.93,3974.44,2871.34,5040.88,2790.96,1657.33,1725.33,2091.93
2019,21380.98,14279.97,2835.61,3889.18,2851.41,5117.99,2728.87,1693.12,1743.73,2011.30
2020,21060.47,14687.74,2671.60,3887.73,2697.81,5055.59,2647.42,1493.08,1655.68,1897.46
2021,23315.08,17820.46,3150.31,4278.50,3141.51,5034.62,2959.36,1836.89,2007.47,2155.36
2022,25439.70,17963.17,3416.65,4082.47,3089.07,4256.41,2779.09,2240.42,2161.48,2049.74
