Year,Life expectancy,GDP
2008,75.4,8953.359275
2007,74.8,7193.61764
2006,75.2,5878.76127
2005,74.9,576.883829
2004,74.7,4251.574348
2003,74.1,333.4376
2002,74.1,2579.193168
2001,74.0,717.694674
2000,74.1,7669.273916
2015,74.8,369.654776
2014,74.6,3994.712355
2013,74.4,3843.591213
2012,74.4,3684.8481
2011,73.9,3526.978143
2010,73.5,3218.381655
2009,73.3,2993.832531
2008,73.2,41.26997
2007,73.5,3138.8873
2006,72.9,2158.299
2005,73.0,1643.758397
2004,73.0,1191.96192
2003,72.7,93.1661567
2002,72.6,783.261699
2001,72.6,694.435119
2000,72.0,622.7427477
2015,82.8,56554.3876
2014,82.7,62214.6912
2013,82.5,67792.3386
2012,82.3,67677.63477
2011,82.0,62245.129
2010,81.9,51874.848
2009,81.7,42742.99898
2008,81.3,49664.6854
2007,81.3,4991.98289
2006,81.2,36118.28381
2005,81.0,3416.71483
2004,86.0,3472.37977
2003,83.0,23465.38559
2002,79.9,281.81763
2001,79.9,19517.84168
2000,79.5,2169.921
2015,81.5,43665.947
2014,81.4,51322.63997
2013,81.1,554.71532
2012,88.0,48333.57273
2011,88.0,51126.74139
2010,84.0,46657.629
2009,82.0,47654.18721
2008,84.0,51386.37665
2007,81.0,46586.6525
2006,79.8,443.99361
2005,79.4,38242.4252
2004,79.3,36693.4262
2003,78.8,3212.9355
2002,78.7,26351.37568
2001,78.6,24489.73553
2000,78.1,24517.26745
2015,72.7,55.31382
2014,72.5,7891.299776
2013,72.2,7875.756953
2012,71.9,7496.335728
2011,71.6,7189.691229
2010,71.1,5842.85784
2009,78.0,495.294791
2008,73.0,5574.6382
2007,73.0,3851.437869
2006,69.2,2473.85776
2005,68.4,1578.4239
2004,68.4,145.2163
2003,67.8,883.6439965
2002,67.8,763.73858
2001,67.5,73.6838434
2000,66.6,655.974326
2015,76.9,22688.87824
2014,76.8,24983.3792
2013,76.7,251.18329
2012,76.5,23649.36661
2011,76.1,2281.1242
2010,76.1,2722.1389
2009,76.0,19356.67236
2008,75.8,2367.56535
2007,75.6,2977.1153
2006,75.5,1937.99549
2005,75.3,17959.17854
2004,75.2,15846.47641
2003,75.0,14221.99259
2002,74.9,1312.33457
2001,74.7,12868.211
2000,74.5,13636.34668
2015,71.8,121.15812
2014,71.4,184.56543
2013,71.0,951.8894535
2012,77.0,856.342857
2011,73.0,835.789341
2010,69.9,757.6717572
2009,69.5,681.125368
2008,69.1,615.7775411
2007,68.6,541.651484
2006,68.2,494.51466
2005,67.8,484.155471
2004,67.3,46.7579167
2003,66.8,432.7388972
2002,66.3,4.6135745
2001,65.8,42.5981152
2000,65.3,45.63371
2015,75.5,15557.8381
2014,75.4,15359.66971
2013,75.2,15472.7814
2012,75.1,15384.8749
2011,74.9,15534.1574
2010,74.7,1595.91232
2009,74.6,16523.32388
2008,74.4,1657.3228
2007,74.2,16462.48556
2006,74.1,15646.5591
2005,73.9,14223.86576
2004,73.8,12868.8639
2003,73.7,1228.5447
2002,73.5,11675.39395
2001,73.4,11513.87189
2000,73.3,11568.1111
2015,72.3,5949.11677
2014,72.0,8318.429294
2013,71.7,7978.825443
2012,71.9,694.243915
2011,72.0,6519.71753
2010,73.0,63.38877
2009,70.0,5176.172649
2008,70.0,6376.183153
2007,69.8,4735.484827
2006,68.9,3848.215966
2005,68.1,3126.71767
2004,68.2,2378.33927
2003,67.7,1819.525644
2002,67.2,1479.383142
2001,67.7,1244.373185
2000,68.0,1276.28834
2015,81.1,4356.875
2014,89.0,47439.39684
2013,87.0,4651.38647
2012,83.0,4474.5717
2011,83.0,4772.77415
2010,80.0,4438.23741
2009,79.8,4488.5615
2008,79.5,48424.58927
2007,79.5,4443.83131
2006,79.4,38852.3613
2005,78.9,36967.28292
2004,78.8,35589.71295
2003,78.3,3743.95693
2002,78.0,2552.3328
2001,78.0,23121.56635
2000,77.6,2327.4591
2015,71.0,4849.997495
2014,70.0,4852.223666
2013,69.8,4688.538443
2012,69.4,4673.63848
2011,69.4,4516.24675
2010,69.5,4344.15177
2009,69.5,4258.788611
2008,69.6,447.22796
2007,69.6,4324.876427
2006,69.4,4187.3783
2005,69.0,3933.332215
2004,68.7,3831.53819
2003,68.4,3679.99523
2002,68.5,3556.561825
2001,68.2,3419.275719
2000,68.3,3364.423711
2015,60.0,783.94791
2014,59.7,943.686575
2013,59.5,915.2674586
2012,59.3,837.9551
2011,59.1,825.9427854
2010,58.7,757.695974
2009,58.4,793.45243
2008,57.6,82.1513498
2007,57.1,76.535419
2006,56.8,625.8392
2005,56.5,61.799977
2004,56.1,583.493514
2003,55.8,519.2922847
2002,55.6,418.6985763
2001,55.5,378.73654
2000,55.4,374.1923942
2015,69.8,2613.645177
2014,69.4,2522.7968
2013,69.1,235.882889
2012,68.7,2422.816
2011,68.3,2458.45976
2010,67.9,2178.921383
2009,67.4,177.234497
2008,67.0,1795.18137
2007,66.5,1741.142552
2006,65.8,1335.45696
2005,65.0,1247.61392
2004,64.2,197.45788
2003,63.3,997.7417141
2002,62.5,885.6382245
2001,61.7,87.9387673
2000,62.0,765.8632358
2015,77.4,4574.9787
2014,77.2,5193.94932
2013,77.0,535.86555
2012,76.8,4716.673325
2011,76.9,55.156834
2010,76.4,4611.47298
2009,76.1,4697.89732
2008,76.0,575.31664
2007,75.4,418.292176
2006,75.7,344.321698
2005,75.0,2968.41186
2004,75.5,265.642661
2003,75.2,2214.732246
2002,75.4,1761.537647
2001,74.9,1524.41222
2000,74.6,1461.7552
2015,65.7,6532.651
2014,65.1,7497.762376
2013,64.2,77.625783
2012,63.4,729.231453
2011,62.2,7645.21469
2010,61.1,6346.15624
2009,59.2,5185.729845
2008,57.5,5623.379566
2007,56.9,5714.47937
2006,54.8,5374.554867
2005,51.7,5351.253732
2004,48.1,4896.583835
2003,46.4,4163.6596
2002,46.0,355.618382
2001,46.7,3128.97793
2000,47.8,3349.68823
2015,75.0,8757.2622
2014,74.8,1226.61731
2013,74.7,12216.9446
2012,74.5,12291.46685
2011,74.1,13167.47289
2010,73.8,11224.1548
2009,73.6,8553.3847
2008,73.4,8787.61375
2007,73.3,7313.557962
2006,73.0,586.145975
2005,72.7,477.182746
2004,72.0,3623.47667
2003,71.8,359.587582
2002,71.4,2819.649531
2001,71.0,3146.95177
2000,75.0,3739.11936
2015,77.7,3967.8951
2014,77.6,4159.8652
2013,77.1,44597.27968
2012,78.3,47651.2599
2011,77.4,4717.273
2010,76.9,35268.1117
2009,76.8,27965.4754
2008,77.2,37951.286
2007,76.0,32672.36717
2006,76.3,398.96692
2005,76.2,2612.13345
2004,76.4,21896.6527
2003,76.0,18555.56649
2002,74.8,16846.2198
2001,74.7,16468.12886
2000,74.4,188.44826
2015,74.5,6993.47736
2014,74.3,7853.335191
2013,74.1,7674.86559
2012,73.9,7378.25539
2011,73.7,7813.83499
2010,73.4,6843.263289
2009,73.2,6955.987733
2008,72.9,7296.122479
2007,72.6,5932.899677
2006,72.2,4513.13628
2005,72.1,3893.68998
2004,72.2,3381.57837
2003,72.0,271.46824
2002,71.8,287.534843
2001,71.6,1764.97387
2000,71.1,169.28586
2015,59.9,615.592225
2014,59.3,75.1464113
2013,59.0,699.452847
2012,58.6,673.8227
2011,58.1,666.842783
2010,57.5,575.4464527
2009,56.9,552.7455521
2008,56.1,569.7612784
2007,55.3,475.11122
2006,54.3,422.6332374
2005,53.3,46.998871
2004,52.4,371.323865
2003,51.6,332.344351
2002,51.0,26.7635413
2001,56.0,235.4912324
2000,51.0,226.4759814
2015,59.6,33.681223
2014,59.1,312.7489794
2013,58.6,282.7555252
2012,58.0,265.285651
2011,57.4,26.479973
2010,56.8,231.1943256
2009,56.2,24.944652
2008,55.3,196.2472628
2007,54.8,17.79995
2006,54.1,165.8794176
2005,53.4,15.57434
2004,52.6,127.4296648
2003,51.9,112.849373
2002,51.5,122.4335893
2001,51.3,133.7427689
2000,58.0,135.9984455
2015,73.3,2954.119467
2014,73.0,3529.61843
2013,72.8,3558.796314
2012,72.7,348.482762
2011,72.6,367.429453
2010,72.5,3312.825985
2009,72.4,3444.5566
2008,72.4,3638.95946
2007,72.3,3112.285712
2006,72.1,234.28992
2005,71.8,248.13459
2004,71.4,1976.45856
2003,71.1,1768.92132
2002,77.0,1373.515636
2001,73.0,1268.884564
2000,69.9,1239.377855
2015,68.7,1163.18977
2014,68.3,198.687123
2013,67.8,128.419568
2012,67.4,95.244132
2011,67.0,882.491462
2010,66.6,785.6928841
2009,66.1,738.2326684
2008,65.6,745.7877873
2007,65.0,631.675789
2006,64.1,539.8791529
2005,62.9,474.2238766
2004,61.5,48.615184
2003,63.0,362.4213785
2002,59.3,339.676984
2001,58.5,321.22634
2000,57.7,3.685949
2015,57.3,1244.429421
2014,56.7,1441.1417
2013,56.4,1365.34419
2012,55.9,1255.648189
2011,55.6,1295.649726
2010,55.3,1182.869227
2009,54.8,123.19538
2008,54.2,1233.524316
2007,53.6,111.71186
2006,53.3,12.989164
2005,52.8,952.1872484
2004,52.1,93.211716
2003,51.8,824.8689393
2002,51.6,676.397661
2001,51.5,614.6729339
2000,51.4,68.414399
2015,82.2,43315.744
2014,82.0,544.43376
2013,81.8,52413.72116
2012,81.6,52496.69487
2011,81.5,5282.2176
2010,81.2,47447.4762
2009,81.0,4773.45436
2008,87.0,46596.33599
2007,85.0,44544.5268
2006,85.0,4386.69948
2005,81.0,36189.58838
2004,80.0,31979.87195
2003,79.7,28172.14883
2002,79.5,24167.8431
2001,79.4,23691.59472
2000,79.1,24124.16917
2015,52.5,348.381417
2014,58.0,377.132274
2013,49.9,337.4849614
2012,53.0,486.41114
2011,49.8,494.336779
2010,49.2,446.4434494
2009,48.6,449.961839
2008,47.6,456.8614334
2007,46.8,397.148467
2006,46.3,347.673678
2005,45.9,327.1149461
2004,45.7,313.21598
2003,45.7,286.25819
2002,45.6,253.768343
2001,45.6,243.1586486
2000,46.0,243.5429317
2015,53.1,777.248751
2014,52.6,125.998515
2013,52.2,986.13177
2012,51.8,973.472574
2011,51.6,989.2363633
2010,51.2,896.5697341
2009,57.0,84.455939
2008,49.6,929.772391
2007,49.4,81.683884
2006,48.5,712.1847694
2005,48.6,66.2421396
2004,48.5,454.6765879
2003,48.4,292.5914364
2002,48.1,22.854821
2001,48.0,197.3156442
2000,47.6,166.231785
2015,85.0,13653.2264
2014,83.0,14817.37778
2013,81.0,15941.39722
2012,79.9,15431.9293
2011,79.8,1475.69242
2010,79.1,1286.17764
2009,79.3,1243.32824
2008,79.6,1781.3668
2007,78.9,1526.87746
2006,78.9,9484.681227
2005,78.4,7615.3468
2004,78.0,621.828325
2003,77.9,4787.699532
2002,77.8,4463.545867
2001,77.3,4595.666327
2000,77.3,511.368479
2015,76.1,869.211938
2014,75.8,7683.5238
2013,75.6,777.77594
2012,75.4,6337.882993
2011,75.2,5633.79616
2010,75.0,456.512487
2009,74.9,3838.434292
2008,74.5,3471.247547
2007,74.4,2695.366223
2006,74.2,299.229676
2005,73.9,1753.4178
2004,73.5,158.668462
2003,73.1,1288.642924
2002,72.7,1148.5857
2001,72.2,153.1824
2000,71.7,959.372181
2015,74.8,644.525556
2014,74.6,7913.383432
2013,74.4,83.5863
2012,74.3,7884.984429
2011,74.2,7227.73968
2010,73.6,625.65544
2009,73.6,5148.422113
2008,73.5,5433.7245
2007,73.5,4674.21961
2006,73.1,379.78776
2005,73.1,3386.256
2004,72.8,274.249442
2003,72.4,2246.257472
2002,71.8,2355.725857
2001,71.5,2395.856551
2000,71.4,2472.197831
2015,63.5,727.6463868
2014,63.2,852.954379
2013,62.9,834.341949
2012,62.5,788.632653
2011,62.2,829.7586885
2010,61.8,769.1742883
2009,61.3,778.5454199
2008,61.0,795.97519
2007,66.0,72.759313
2006,63.0,648.38717
2005,60.0,621.93372
2004,59.8,616.4197236
2003,59.6,544.566526
2002,59.5,433.2691451
2001,59.5,395.9319363
2000,59.5,375.8528566
2015,79.6,1146.36273
2014,79.5,1647.44179
2013,79.4,1569.66631
2012,79.2,9985.36959
2011,79.0,9186.59639
2010,78.1,8199.414621
2009,79.2,689.396224
2008,78.9,6911.136136
2007,78.9,612.623418
2006,78.0,5245.187372
2005,78.6,4697.11135
2004,77.7,4425.57467
2003,78.0,4167.71417
2002,78.3,462.14965
2001,77.5,3981.52847
2000,77.6,388.363689
2015,78.0,11579.6674
2014,77.8,13467.46827
2013,77.7,13574.749
2012,77.1,13235.97757
2011,77.0,14539.18421
2010,76.6,1355.74586
2009,76.3,14157.14416
2008,76.0,15893.8656
2007,75.8,13546.69872
2006,75.9,11363.41845
2005,75.2,1224.2459
2004,75.4,9365.742468
2003,74.7,785.881418
2002,74.8,653.71637
2001,74.9,5245.421419
2000,74.7,4919.62869
2015,79.1,762.261218
2014,79.0,75.5199
2013,78.7,676.15344
2012,78.7,6425.941119
2011,78.8,675.92436
2010,78.0,5676.14143
2009,78.1,5484.7763
2008,77.9,5376.447622
2007,78.1,5184.494227
2006,78.0,4669.6916
2005,77.2,3779.577
2004,77.3,339.716256
2003,77.4,3192.669378
2002,77.7,2994.339988
2001,76.7,2832.188893
2000,76.9,2741.11542
2015,85.0,2375.1127
2014,83.0,2734.88382
2013,81.0,2797.96736
2012,80.0,28951.15556
2011,79.7,32233.83942
2010,79.5,3818.46396
2009,79.3,3215.8159
2008,79.1,3539.7488
2007,78.9,31386.63265
2006,78.8,27169.99256
2005,78.7,25324.48666
2004,78.6,23932.49128
2003,78.5,2293.4789
2002,78.4,16372.29152
2001,78.2,1562.92433
2000,78.1,14672.8826
2015,86.0,5314.64416
2014,84.0,62425.5392
2013,81.0,61191.19263
2012,80.0,5857.521
2011,79.7,61753.667
2010,79.2,5841.41122
2009,78.9,58163.29359
2008,78.8,64322.6664
2007,78.4,58487.451
2006,78.1,5226.99311
2005,78.1,48799.8237
2004,77.7,46511.6457
2003,77.3,4458.7764
2002,77.0,33228.69291
2001,77.0,3751.64946
2000,76.9,3743.55917
2015,63.5,1862.167274
2014,63.0,174.91511
2013,62.7,1622.637974
2012,62.2,1536.15685
2011,61.8,143.986898
2010,61.3,1325.99724
2009,69.0,1253.657431
2008,62.0,1214.77118
2007,59.8,147.586896
2006,59.1,965.6693779
2005,58.6,94.7297489
2004,58.1,864.184726
2003,58.0,819.974118
2002,57.9,792.15412
2001,57.7,781.2322196
2000,57.4,768.176767
2015,73.9,6468.471648
2014,73.6,6268.692122
2013,73.4,627.55544
2012,72.1,5968.876767
2011,73.1,5759.643
2010,72.7,5451.6696
2009,73.6,4952.67753
2008,73.3,511.37937
2007,72.9,4647.31359
2006,72.3,3836.468771
2005,69.7,3681.5993
2004,69.3,2421.9662
2003,73.0,2372.628827
2002,71.4,38.46578
2001,71.2,2862.154836
2000,72.0,282.4242
2015,76.2,625.62224
2014,76.0,6432.216537
2013,76.0,674.9829
2012,75.5,572.14313
2011,75.3,5223.351763
2010,75.0,4657.32361
2009,75.1,4255.56571
2008,74.6,4274.95265
2007,74.7,359.71886
2006,74.4,335.786541
2005,74.2,321.942547
2004,74.4,278.557892
2003,74.4,244.46898
2002,73.6,2183.966796
2001,73.4,193.741571
2000,72.8,1451.29776
2015,73.5,4127.11775
2014,73.3,3988.771871
2013,73.0,3895.664491
2012,73.0,3827.786267
2011,72.0,3736.58713
2010,72.0,3474.392445
2009,71.4,3366.482133
2008,71.7,357.347674
2007,71.2,334.83817
2006,75.0,362.951768
2005,71.0,2835.281237
2004,70.0,2632.79942
2003,69.9,2519.737387
2002,73.0,248.4125
2001,68.9,2338.772244
2000,69.0,2238.4116
2015,58.2,1347.31257
2014,57.9,192.59733
2013,57.4,2246.9938
2012,56.7,21557.6528
2011,56.2,21451.88617
2010,56.1,17136.44568
2009,55.7,1653.2937
2008,55.4,22742.38159
2007,55.0,15761.83913
2006,54.8,12732.2759
2005,54.4,185.63334
2004,54.1,685.34897
2003,53.8,3577.176197
2002,53.5,2711.17114
2001,53.1,2283.87939
2000,52.7,172.68491
2011,62.9,582.775532
2010,62.1,482.14994
2009,61.4,43.7544499
2008,67.0,326.825642
2007,62.0,317.3294336
2006,59.7,297.828588
2005,59.4,276.75896
2004,59.1,287.4222243
2003,58.8,232.7945459
2002,58.5,21.7687981
2001,58.1,215.139213
2000,45.3,28.1969487
2015,77.6,1774.9291
2014,77.3,19941.45532
2013,76.9,1929.7746
2012,76.3,17421.8922
2011,76.1,17454.84342
2010,75.6,14638.6482
2009,74.9,14726.31828
2008,74.2,1894.5485
2007,73.0,16586.452
2006,73.0,12595.4165
2005,72.8,1338.31322
2004,72.3,885.465115
2003,71.9,7174.237415
2002,71.2,538.347781
2001,78.0,4498.95727
2000,78.0,47.32827
2015,64.8,645.4637627
2014,64.2,571.1622759
2013,63.7,52.1535887
2012,63.3,468.567249
2011,62.6,354.8463544
2010,61.8,341.39992
2009,68.0,379.7566385
2008,59.8,325.3825543
2007,58.5,243.326822
2006,57.2,193.794956
2005,56.0,161.6266248
2004,55.0,135.7623858
2003,54.0,118.8734466
2002,53.2,111.3634356
2001,52.5,12.1789279
2000,51.2,123.876257
2015,69.9,4921.89629
2014,69.7,546.3728
2013,69.6,4763.68956
2012,69.4,4546.73854
2011,69.2,4353.121392
2010,69.1,3651.966784
2009,68.9,3369.48247
2008,68.7,4177.657789
2007,68.6,478.82327
2006,68.5,3749.939813
2005,68.3,3658.63832
2004,68.1,3332.918533
2003,68.0,2835.973972
2002,67.9,2259.55796
2001,67.8,238.891729
2000,67.7,276.1338
2015,81.1,4245.39744
2014,89.0,49914.61864
2013,87.0,49638.7713
2012,84.0,47415.55987
2011,83.0,579.72415
2010,79.9,4622.41516
2009,79.7,4717.15571
2008,79.6,5341.31487
2007,79.3,48288.5491
2006,79.2,4112.67651
2005,78.9,38969.17163
2004,78.7,37636.11173
2003,78.4,32816.1688
2002,78.1,26834.2625
2001,78.0,24913.24452
2000,77.5,24253.2542
2015,82.4,36526.7711
2014,82.2,42955.24287
2013,82.0,42554.1225
2012,81.5,4838.2444
2011,81.7,4381.288
2010,81.3,473.34279
2009,81.1,41631.13141
2008,89.0,45413.6571
2007,89.0,416.58397
2006,86.0,36544.5853
2005,81.0,34879.72633
2004,82.0,33874.74255
2003,79.3,29691.18158
2002,79.2,24275.2426
2001,79.0,22527.31775
2000,78.8,22465.64184
2015,66.0,7388.984144
2014,65.5,9692.163874
2013,64.6,9679.742995
2012,63.5,9774.18117
2011,62.8,1716.2258
2010,62.3,8754.113376
2009,61.7,763.66223
2008,61.6,194.2746
2007,61.6,8352.81711
2006,61.4,727.777345
2005,65.0,6741.293948
2004,59.7,5685.577736
2003,59.7,4892.11618
2002,59.7,412.55271
2001,59.8,3976.14887
2000,61.0,4116.46693
2015,74.4,3764.64912
2014,74.5,4429.6575
2013,74.5,4274.376857
2012,74.2,4142.869175
2011,73.9,3725.63221
2010,73.8,2964.47734
2009,73.2,276.588512
2008,73.9,3174.9491
2007,74.4,2492.12878
2006,73.9,1872.68416
2005,73.9,153.57521
2004,72.3,127.367228
2003,72.7,928.18227
2002,71.7,779.3845935
2001,73.0,733.974142
2000,71.8,691.997711
2015,81.0,41176.88158
2014,89.0,4792.65288
2013,86.0,4653.91143
2012,86.0,4465.24891
2011,85.0,4681.32796
2010,81.0,41785.55691
2009,80.0,41732.7725
2008,79.9,45699.19832
2007,79.8,41814.8191
2006,79.6,36447.87232
2005,79.2,34696.6292
2004,79.1,34165.9343
2003,78.5,3359.95215
2002,78.4,2525.16445
2001,78.3,23687.31689
2000,78.0,23718.7467
2015,62.4,1361.11395
2014,62.1,1432.227943
2013,61.9,1814.492297
2012,61.6,1629.8222
2011,61.2,1574.978653
2010,69.0,1312.67557
2009,66.0,186.76538
2008,63.0,1224.41554
2007,59.9,19.686718
2006,59.4,922.9351677
2005,58.9,498.172394
2004,58.3,423.1936389
2003,57.9,373.2815537
2002,57.6,39.484473
2001,57.4,273.6596668
2000,57.2,263.1124679
2015,81.0,187.78991
2014,88.0,21673.7817
2013,86.0,21874.8195
2012,84.0,22242.68193
2011,85.0,25916.29353
2010,83.0,26917.75898
2009,80.0,2971.973
2008,79.9,31997.2821
2007,79.4,28827.32636
2006,79.7,2481.15781
2005,79.3,22551.73574
2004,79.2,21955.149
2003,79.1,18477.57841
2002,79.0,1411.31339
2001,78.7,12538.17883
2000,78.2,1242.95373
2015,73.6,9212.192824
2014,73.5,8569.776998
2013,73.3,7955.615985
2012,73.1,7583.1872
2011,72.9,741.48438
2010,72.6,7365.666659
2009,72.4,7395.88125
2008,72.1,7946.944346
2007,71.9,7322.596862
2006,71.7,6764.722867
2005,71.5,6754.512393
2004,73.0,5836.17763
2003,71.1,5773.73577
2002,79.0,5292.232379
2001,77.0,519.958715
2000,74.0,5117.589923
2015,71.9,3923.573344
2014,71.7,3687.763767
2013,71.4,3452.828934
2012,71.3,3299.65139
2011,71.1,3187.845296
2010,77.0,2825.5247
2009,76.0,2635.753474
2008,79.0,2794.22189
2007,75.0,2489.955836
2006,69.7,2256.56724
2005,69.2,277.83438
2004,69.6,1872.73783
2003,69.4,1753.349471
2002,69.3,171.771491
2001,68.4,1568.376276
2000,67.7,1655.596261
2015,59.0,554.48766
2014,58.1,561.997387
2013,58.8,54.169324
2012,58.4,52.3485646
2011,58.1,459.2912
2010,57.8,438.7513346
2009,57.3,436.6895539
2008,56.8,437.4467238
2007,56.4,49.456775
2006,55.6,296.68382
2005,54.7,33.424498
2004,54.0,386.3288283
2003,53.3,37.1931781
2002,52.9,322.811171
2001,52.5,315.83983
2000,52.5,34.516918
2015,58.9,596.8717189
2014,58.4,642.6256154
2013,58.1,61.566347
2012,57.6,67.7518833
2011,57.1,692.69989
2010,56.7,543.957418
2009,56.3,544.222779
2008,55.6,583.5445622
2007,55.0,481.694976
2006,54.4,418.94454
2005,53.9,424.9534585
2004,53.5,393.3138244
2003,53.0,36.5718585
2002,52.8,321.481324
2001,52.5,39.486749
2000,52.1,297.7519443
2015,66.2,4136.689919
2014,66.0,43.82321
2013,65.9,3944.178173
2012,65.8,3785.935665
2011,65.6,3439.597513
2010,65.9,326.281212
2009,66.1,2716.35256
2008,66.3,2576.124957
2007,65.7,2327.58324
2006,65.2,1945.6395
2005,65.0,198.455216
2004,65.1,145.58861
2003,65.3,986.7958173
2002,65.3,96.8674827
2001,65.4,925.582546
2000,65.4,946.599372
2015,63.5,814.5463952
2014,63.1,83.1148117
2013,62.7,81.265673
2012,62.3,766.8437623
2011,62.3,74.9358452
2010,36.3,662.2795182
2009,62.5,668.297646
2008,62.1,674.7564147
2007,61.8,615.8198192
2006,61.1,55.47626
2005,65.0,465.311876
2004,58.7,387.9429725
2003,59.7,329.782946
2002,59.3,393.16327
2001,58.9,413.7383164
2000,58.6,462.486524
2015,74.6,2326.15856
2014,74.5,2242.711912
2013,74.3,2136.77395
2012,74.1,2178.38325
2011,73.9,212.584798
2010,73.6,1932.85829
2009,73.4,1815.489496
2008,73.2,1751.595857
2007,73.0,1592.572182
2006,72.8,1437.628785
2005,72.5,1311.741714
2004,72.2,1217.657961
2003,71.9,1157.3427
2002,71.6,1132.8721
2001,71.3,113.4546
2000,71.0,188.783165
2015,75.8,12365.6263
2014,75.6,14117.97668
2013,75.5,13613.6147
2012,75.0,12834.32349
2011,74.8,1448.87958
2010,74.5,1325.53379
2009,74.2,12967.16543
2008,74.1,15669.25929
2007,73.5,13842.6549
2006,73.4,11398.76584
2005,72.9,11161.72441
2004,72.9,1259.5266
2003,72.5,8396.25323
2002,72.5,665.6443
2001,72.3,527.85364
2000,71.7,4623.46712
2015,82.7,5734.4436
2014,82.5,52473.11356
2013,82.4,4781.3888
2012,82.5,44333.8518
2011,82.1,46.217
2010,81.8,41676.44527
2009,81.6,4461.89251
2008,81.4,55575.29196
2007,81.3,68348.31817
2006,81.1,5613.54115
2005,81.0,56249.7555
2004,88.0,46917.27216
2003,87.0,3944.999
2002,84.0,31996.2172
2001,80.0,28585.9254
2000,79.7,31813.37344
2015,68.3,1613.18878
2014,68.0,1573.11889
2013,67.6,1452.195373
2012,67.3,1446.98541
2011,66.8,1461.671957
2010,66.4,1345.77153
2009,66.0,19.317765
2008,65.5,991.484634
2007,65.2,118.166373
2006,64.8,792.259698
2005,64.4,77.819
2004,64.0,621.3183767
2003,63.7,541.1352279
2002,63.3,466.2842
2001,62.9,447.138966
2000,62.5,438.864634
2015,69.1,3336.16686
2014,68.9,3491.595887
2013,68.7,362.663981
2012,68.5,3687.953996
2011,68.3,3634.27685
2010,68.1,3113.48635
2009,67.9,2254.44566
2008,67.7,216.52766
2007,67.5,1855.93915
2006,67.3,1586.254
2005,67.2,126.928834
2004,65.3,1148.56996
2003,66.9,164.59447
2002,66.7,899.5556857
2001,66.5,747.9817455
2000,66.3,78.92744
2015,68.9,4974.2693
2014,67.9,673.74737
2013,69.5,6925.22446
2012,76.0,6651.12242
2011,77.0,5854.614497
2010,76.0,452.74948
2009,74.0,3735.144836
2008,69.3,4521.3247
2007,65.9,3129.224922
2006,64.7,2351.812429
2005,66.8,1849.63911
2004,67.2,1391.816923
2015,81.4,6664.144
2014,81.2,5553.32623
2013,81.0,5234.76736
2012,85.0,49231.36254
2011,84.0,52567.52568
2010,86.0,48538.58776
2009,79.7,51983.78892
2008,79.8,61235.415
2007,79.5,61388.17457
2006,79.0,54326.9713
2005,78.7,5886.82789
2004,78.3,47631.6377
2003,78.0,4117.15532
2002,77.4,32539.1937
2001,77.0,28223.55528
2000,76.4,26241.91883
2015,82.5,35729.37253
2014,82.2,37582.84624
2013,82.1,36393.66932
